mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD,destination_id,mine_processed_quantity_tons_fraction
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,4.673006108447741,3.7074029282896706,mine_3670,0.029523056384197083
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,15.947051736888948,12.651844430515393,mine_3692,0.10075007322134032
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1.7585355073706188,1.3951618162324309,mine_3696,0.011110052444369923
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,59.96864558466555,47.57706861205161,mine_3702,0.3788691184630434
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,0.24136175762281334,0.19148814836135514,mine_3704,0.0015248721302558333
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,23.048078129360025,18.285555457281948,mine_3749,0.14561284414552253
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.11214804886003939,0.12098043405523422,mine_3502,1.0
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,5.087666492455002,4.036380268836075,mine_3553,0.0069586113426095214
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,144.99110265370487,115.03097279983048,mine_3555,0.19831031239956143
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,18.73489756057891,14.863625782926585,mine_3559,0.025624492262023978
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,39.39556355943801,31.255090259318823,mine_3575,0.05388293746057183
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,34.97271844794915,27.746156494378322,mine_3664,0.04783362974650419
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,21.58526426113231,17.12500905679551,mine_3670,0.029523056384197083
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,73.66164690100071,58.44062667277891,mine_3692,0.10075007322134032
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,8.122919756205512,6.4444462069025175,mine_3696,0.011110052444369923
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,277.00350315980484,219.76508802431033,mine_3702,0.3788691184630434
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1.1148834818344329,0.8845103535778921,mine_3704,0.0015248721302558333
