mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,74.62197695274322,port747_land,ARE
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,122.23379489044392,port955_land,AUS
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,22.524220230362385,port57_land,BEL
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,90.65986516732796,port1355_land,BGR
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,40.60796003130191,port1114_land,CHE
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,6631.407900985589,port1195_land,CHN
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,102.93587708456847,port446_land,DEU
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,165.8680631430786,port635_land,ESP
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,2.5204007192761386,port493_land,GBR
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,8900.103676804261,port1367_land,IND
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,623.8237683966411,port1004_land,ITA
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.41882598776728885,port16_land,KAZ
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.41882598776728885,port100_land,KAZ
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,292.31865628310635,port535_land,KHM
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,240.4910552948226,port915_land,KOR
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,221.83451765766378,port672_land,MYS
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,78.24928298253927,port1114_land,NLD
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,168.06845057733028,port988_land,OMN
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.013761586455052313,port1095_land,RUS
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,45.546339170664126,port1201_land,SGP
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,299.182755127064,port701_land,THA
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,238.21931986340007,port747_land,ARE
