origin_id,destination_id,reference_mineral,process_binary,export_country_code,import_country_code,export_continent,import_continent,mine_output_tons,mine_output_thousandUSD
mine_1741,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,12729.948201659177,25897.759999730715
mine_1741,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.00038001801431010505,0.0017734174001138236
mine_1741,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.013933993858037185,0.194062532641027
mine_1741,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.0032934894573542436,0.009500450357752627
mine_1741,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.0967779209776401,0.11742556642182249
mine_1741,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,66.18647082567664,62.009819503065714
mine_1741,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,1017.3536997971971,468.131017870789
mine_1741,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,159.15091102971482,61.002518419801056
mine_1741,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.008867087000569119,0.3221286034635324
mine_1741,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.0010133813714936135,0.255625450959264
mine_1741,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.00228010808586063,0.016974137972518028
mine_1741,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,264.2675672953616,315.8244846241421
mine_1741,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.03420162128790946,0.002533453428734034
mine_1747,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,33.232820403527384,121.8867559165517
mine_1747,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,1.2187860786147342,0.4734563204174365
mine_1747,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,4.526298916372569,12.227786256031097
mine_1747,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.0012493684453420192,0.0028789794610055226
mine_1747,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.00021728146875513377,0.0026616979922503884
mine_1747,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,5458.915903213268,11105.598520951113
mine_1747,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.00016296110156635031,0.0007604851406429681
mine_1747,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.005975240390766179,0.08321880253321623
mine_1747,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.0014123295469083692,0.004074027539158758
mine_1747,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.041500760532230556,0.050354980384002254
mine_1747,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,28.38239185613935,26.59134070919078
mine_1747,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,436.26636990494063,200.74613170139935
mine_1747,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,68.24783773415157,26.159385149305578
mine_1747,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.0038024257032148413,0.1381366937610763
mine_1747,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.00043456293751026754,0.10961850098696498
mine_1747,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.0009777666093981018,0.007278929203296982
mine_1747,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,113.32445371805255,135.43333204719212
mine_1747,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.01466649914097153,0.001086407343775669
mine_1759,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,413.31078099804125,1515.8842875653281
mine_1759,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,15.157829516279286,5.88829353585106
mine_1759,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,56.29278879856877,152.07484125605242
mine_1759,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.015538177067986965,0.03580536454796996
mine_1759,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.002702291663997733,0.03310307288397223
mine_1759,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,67891.58331924857,138118.38846087825
mine_1759,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.0020267187479983,0.009458020823992065
mine_1759,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.07431302075993766,1.0349777073111317
mine_1759,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.017564895815985263,0.05066796869995749
mine_1759,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.516137707823567,0.6262560931314748
mine_1759,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,352.9868486097039,330.7118584233706
mine_1759,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,5425.7686190682925,2496.6445660758413
mine_1759,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,848.786433797108,325.33970259534306
mine_1759,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.04729010411996033,1.717981925386559
mine_1759,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.005404583327995466,1.3633061444868562
mine_1759,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.012160312487989797,0.09052677074392405
mine_1759,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,1409.3964311080017,1684.360688076015
mine_1759,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.182404687319847,0.013511458319988665
mine_1990,port747_land,copper,0.0,NAM,ARE,Africa,Asia,110.9391971983312,260.7071134160783
mine_1990,port1195_land,copper,0.0,NAM,CHN,Africa,Asia,2.77347992995828,449.30374865324137
mine_1990,port635_land,copper,0.0,NAM,ESP,Africa,Europe,11.09391971983312,291.2153926456194
mine_1990,port1114_land,copper,0.0,NAM,NLD,Africa,Europe,24.96131936962452,1070.5632529638963
mine_2142,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,11.276765106834313,41.359364008692765
mine_2142,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,0.41356599160507146,0.1606561119057718
mine_2142,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,1.5358915994332658,4.149207672160254
mine_2142,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.000423943388461766,0.0009769130255858087
mine_2142,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,7.372928494987234e-05,0.0009031837406359362
mine_2142,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,1852.3529339677812,3768.420024870341
mine_2142,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,5.529696371240426e-05,0.0002580524973245532
mine_2142,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.0020275553361214895,0.02823831613580111
mine_2142,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.00047924035217417017,0.0013824240928101063
mine_2142,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.01408229342542562,0.01708676178713292
mine_2142,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,9.630887846577076,9.02313735073528
mine_2142,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,148.03658906143045,68.1184126359021
mine_2142,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,23.158276241148716,8.876563532254933
mine_2142,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.001290262486622766,0.04687339290688134
mine_2142,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.0001474585698997447,0.03719642425721059
