mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,AUS,Africa,0,Oceania,0,2243.85,611.793,0.004059794671234131,72.58627283285374,266.2219219507233
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,AUT,Africa,0,Europe,1,8.716,22.437,0.00014888959670751416,2.6620412517808143,1.0341111356474384
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BGR,Africa,0,Europe,0,225.105,83.326,0.000552942663245992,9.886225847746495,26.70761670375363
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BRA,Africa,0,South America,0,0.053,0.023,1.5262560610923142e-07,0.002728838471763548,0.006288193000150785
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,0.4945129891439334,1.229638344406844
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CAN,Africa,0,North America,0,0.049,0.004,2.6543583671170682e-08,0.00047458060378496484,0.00581361239636582
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CHN,Africa,0,Asia,0,204446.308,100494.827,0.6668732122485806,11923.223918731397,24256.563073061723
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,0.00011864515094624121,0.01091535388705419
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,484.7768494121338,384.6053416939771
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,DEU,Africa,0,Europe,0,0.014,0.003,1.990768775337801e-08,0.0003559354528387236,0.0016610321132473768
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,ESP,Africa,0,Europe,0,1.532,0.11,7.299485509571937e-07,0.013050966604086533,0.18176437124964154
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,FIN,Africa,0,Europe,0,0.075,0.026,1.725332938626094e-07,0.003084773924602271,0.008898386320968088
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,GBR,Africa,0,Europe,0,0.927,0.764,5.069824481193601e-06,0.09064489532292828,0.10998405492716559
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,GEO,Africa,0,Europe,0,489.528,522.5,0.0034672556170466705,61.992091369411035,58.08012345241158
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,KHM,Africa,0,Asia,0,3695.596,8031.359,0.05329526240242743,952.8818008584528,438.4645452563252
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,3973.589835497923,5111.805446972236
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,MYS,Africa,0,Asia,0,481.576,1256.395,0.008337306451635123,149.06517442310272,57.13665721208706
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.34347771198936833,0.3705288064051114
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,NLD,Africa,0,Europe,0,2.543,0.07,4.6451271424548695e-07,0.008305160566236884,0.30171461885629136
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,RUS,Africa,0,Europe,0,2.018,0.008,5.3087167342341363e-08,0.0009491612075699297,0.23942591460951473
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,0.1186451509462412,0.06810231664314244
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,TUR,Africa,0,Asia,0,0.134,0.018,1.1944612652026805e-07,0.0021356127170323413,0.01589845022679632
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,TWN,Africa,0,Asia,0,2493.233,2086.224,0.013843965325201097,247.52036138767113,295.8100056291498
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,0.00014821190789205893,0.0001186451509462412
