mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,AUS,Africa,0,Oceania,0,2243.85,611.793,0.004059794671234131,72.58627283285374,port955_land,AUS
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,AUT,Africa,0,Europe,1,8.716,22.437,0.00014888959670751416,2.6620412517808143,port446_land,AUT
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BGR,Africa,0,Europe,0,225.105,83.326,0.000552942663245992,9.886225847746495,port1355_land,BGR
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BRA,Africa,0,South America,0,0.053,0.023,1.5262560610923142e-07,0.002728838471763548,port506_land,BRA
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CAN,Africa,0,North America,0,0.049,0.004,2.6543583671170682e-08,0.00047458060378496484,port1350_land,CAN
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CHN,Africa,0,Asia,0,204446.308,100494.827,0.6668732122485806,11923.223918731397,port1195_land,CHN
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,DEU,Africa,0,Europe,0,0.014,0.003,1.990768775337801e-08,0.0003559354528387236,port446_land,DEU
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,ESP,Africa,0,Europe,0,1.532,0.11,7.299485509571937e-07,0.013050966604086533,port635_land,ESP
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,FIN,Africa,0,Europe,0,0.075,0.026,1.725332938626094e-07,0.003084773924602271,port586_land,FIN
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,GBR,Africa,0,Europe,0,0.927,0.764,5.069824481193601e-06,0.09064489532292828,port493_land,GBR
